질문,대답,관련 규정,관련 조항,카테고리,키워드,업데이트 날짜
2주차 금요일에 갑자기 고객 이슈가 생겨 18시 이후에도 일해야 하면 어떻게 해야 하나요?,부분선택적 근로시간제에서 2주차 금요일은 18시까지 근무가 원칙입니다. 부득이하게 18시 이후 근무해야 하면 담당 임원의 사전 승인이 필요하므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,유연근무제 운영지침,"제5조 제2항, 별첨2 초과근무 관련 사항",근태,"2주차 금요일, 18시 이후, 담당임원 승인, 초과근무, 유연근무제, 근무시간, 근태, 2주차, 금요일에, 갑자기",26.04.09
시프티 오류로 재택근무 출근 등록을 못했는데 나중에 수정해도 되나요?,"전자시스템 오류 등으로 출퇴근 등록이 안 될 경우 메일, 메시지, 유선 또는 SNS 등으로 소속 부서장에게 출퇴근 시점을 확인받아야 합니다.",유연근무제 운영지침,"제6조 제2항, 별첨1 제6조 제5항 제2호",근태,"시프티 오류, 출근등록, 퇴근등록, 부서장 확인, 유연근무제, 근무시간, 근태, 재택근무, 원격근무, 근무지, 시프티, 오류로",26.04.09
이번 주에 재택근무를 이미 2번 했는데 하루 더 재택을 신청할 수 있나요?,재택근무는 주 2회까지 신청할 수 있습니다. 주 2회를 초과해 신청하는 경우 소속 담당이사 또는 대표이사의 승인까지 필요하며 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,유연근무제 운영지침,"별첨1 제3조 제1항, 제3조 제4항 제2호",근태,"재택근무, 주2회, 추가승인, 담당이사, 유연근무제, 근무시간, 근태, 원격근무, 근무지",26.04.09
재택근무 신청 장소가 아닌 카페나 다른 장소에서 근무해야 하는 상황이면 가능한가요?,"재택근무자는 자택 또는 신청한 근무지 외 장소에서 임의로 근무할 수 없습니다. 다른 장소 근무가 필요하면 사전 승인이 필요하고, 사전승인이 곤란한 경우 변경 후 즉시 보고해야 하므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",유연근무제 운영지침,"제6조 제8항, 별첨1 제7조 제3항",근태,"재택근무 장소, 카페근무, 근무지 변경, 사후보고, 유연근무제, 근무시간, 근태, 재택근무, 원격근무, 근무지 ",26.04.09
재택근무 중 갑자기 병원이나 가족일 때문에 15분 이상 자리를 비워야 하면 어떻게 해야 하나요?,재택근무 중 15분 이상 자리를 비울 때는 반드시 사전에 소속 부서장의 결재를 받아야 합니다. 사전 결재가 어려운 상황이면 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,유연근무제 운영지침,별첨1 제7조 제5항,근태,"재택근무, 자리비움, 15분, 부서장 결재, 유연근무제, 근무시간, 근태, 원격근무, 근무지, 갑자기, 병원이나, 가족일",26.04.09
"지각, 조퇴, 외출 시간을 나중에 연차로 대체할 수 있나요?",사원이 동의할 경우 지각·조퇴·외출 누계 8시간당 연차휴가 1일을 사용한 것으로 처리할 수 있습니다. 동의 여부와 처리 방식은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,취업규칙,제16조 제6항,근태,"지각누계, 외출누계, 연차대체, 8시간, 지각, 조퇴, 외출, 시간을, 연차로, 대체할",26.05.12
유급휴가를 다 쓰고 추가로 귀국하려면 무급휴가로 최대 며칠까지 가능한가요?,"기타수당 지급조건상 무급휴가 귀국은 최대 20일까지 가능하며, 최소 2주 전에 본사에 보고해야 합니다. 20일을 초과하면 본사 승인 하에 귀국할 수 있습니다.",가나파견 기타수당 지급조건,제6조 제2항 B,휴가 및 휴직,"무급휴가, 귀국, 최대20일, 본사보고, 복직, 휴직원, 휴직 신청, 유급휴가를, 쓰고, 추가로, 귀국하려면, 무급휴가로",20.08.13
경조휴가 5일에 주말이나 공휴일이 끼면 그만큼 연장되나요?,"경조휴가는 경조사 발생 익일부터 계산하며, 휴일이나 휴무일을 포함합니다. 따라서 주말이나 휴무일이 끼어도 그 기간이 별도로 연장되지는 않습니다.",경조금 지급 규정,제7조 제3항,휴가 및 휴직,"경조휴가, 휴일포함, 휴무일, 휴가산정, 복직, 휴직원, 휴직 신청, 5일에, 주말이나, 공휴일이, 끼면, 그만큼",25.10.21
경조사가 당일에 있어서 하루만 다녀오려고 하는데 경조휴가로 처리되나요?,규정상 당일 경조는 본인 연차를 사용한다고 되어 있습니다. 경조휴가 적용 여부가 애매한 경우 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,경조금 지급 규정,제7조 제4항,휴가 및 휴직,"당일경조, 연차, 경조휴가, 휴가처리, 복직, 휴직원, 휴직 신청, 경조사가, 당일에, 있어서, 하루만, 다녀오려고",25.10.21
조의금이 유족에게 지급되는 경우 유족 순위는 회사가 정하나요?,유족에게 지급되는 경우 유족의 범위 및 순위는 근로기준법이 정하는 바에 따른다고 규정되어 있습니다. 실제 지급 대상 판단은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,경조금 지급 규정,제7조 제2항,휴가 및 휴직,"유족, 지급순위, 조의금, 근로기준법, 복직, 휴직원, 휴직 신청, 조의금이, 유족에게, 지급되는, 경우, 순위는",25.10.21
결혼식 경조금은 언제까지 신청해야 하나요?,결혼 축의금은 청첩장을 첨부해 14일 전에 서면으로 신청해야 합니다. 기한을 놓친 경우 처리 가능 여부는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,경조금 지급 규정,"제9조, 제10조 제3항",휴가 및 휴직,"결혼, 축의금, 청첩장, 14일 전 신청, 복직, 휴직원, 휴직 신청, 결혼식, 경조금은, 언제까지, 신청해야",25.10.21
입사한지 아직 3개월이 안됐는데 결혼 경조금을 신청할 수 있나요?,경조금 지급 대상은 3개월 이상 근속한 임직원입니다. 3개월 미만인 경우 지급 대상에 해당하기 어렵습니다.,경조금 지급 규정,제3조,휴가 및 휴직,"3개월 근속, 결혼, 지급대상, 축의금, 복직, 휴직원, 휴직 신청, 입사한지, 아직, 3개월이, 안됐는데, 경조금을",25.10.21
경조사 발생 후 15일이 지나서 경조금 청구를 하면 받을 수 없나요?,경조금 청구권은 권리발생일 전후 14일 이내 이행하지 않으면 소멸한다고 규정되어 있습니다. 예외 가능성은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,경조금 지급 규정,제9조,휴가 및 휴직,"청구기간, 14일, 권리소멸, 경조금, 복직, 휴직원, 휴직 신청, 경조사, 발생, 15일이, 지나서, 청구를",25.10.21
중간 귀국 휴가 때 가족 항공권도 지원되나요?,중간 귀국 휴가자가 동반가족을 동반한 경우 동반가족 최대 2인에 대해 왕복항공운임을 제공한다고 규정되어 있습니다. 동반가족 해당 여부는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,가나 파견 직원의 관리 등에 관한 규정,"제2조 제5호, 제13조 제2항",휴가 및 휴직,"동반가족, 항공운임, 중간귀국휴가, 가족지원, 중간, 귀국, 휴가, 가족, 항공권도, 지원되나요",20.08.13
가나 파견에서 귀국한 뒤 활동 결과 보고서를 언제까지 제출해야되나요?,"귀국 후 2주 이내에 활동 결과 보고서를 가나 파견 팀장에게 제출해야 하며, 귀국 직후 영업일 1일 내에 귀국 사실을 회사에 보고해야 합니다.",가나 파견 직원의 관리 등에 관한 규정,"제18조 제1항, 제18조 제2항",휴가 및 휴직,"귀국보고, 활동결과보고서, 2주, 영업일 1일, 가나, 파견에서, 귀국한, 활동, 결과, 보고서를, 언제까지, 제출해야되나요",20.08.13
